species	taxid	genus	subfamily	family	superfamily	infraorder	suborder	order	subclass	class	subphylum	phylum	GC_timing	GC_mech	GC_mech_evidence
Inocellia japonica	621228	Inocellia		Inocelliidae				Raphidioptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	
Labidura riparia	50449	Labidura		Labiduridae	Anisolabidoidea	Epidermaptera	Neodermaptera	Dermaptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Lasius niger	67767	Lasius	Formicinae	Formicidae	Formicoidea	Aculeata	Apocrita	Hymenoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Lathonura rectirostris	381645	Lathonura		Macrothricidae		Anomopoda	Cladocera	Diplostraca	Phyllopoda	Branchiopoda	Crustacea	Arthropoda	2	IND	
Lepisma saccharina	50586	Lepisma		Lepismatidae				Zygentoma		Insecta	Hexapoda	Arthropoda	2	IND	
Leptinotarsa decemlineata	7539	Leptinotarsa	Chrysomelinae	Chrysomelidae	Chrysomeloidea	Cucujiformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_exp
Ligia exotica	142080	Ligia		Ligiidae			Oniscidea	Isopoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	3	IND	
Limnoria lignorum	2582962	Limnoria		Limnoriidae				Isopoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	IND	
Limulus polyphemus	6850	Limulus		Limulidae				Xiphosura		Merostomata	Chelicerata	Arthropoda	3	IND	
Liposcelis divergens		Liposcelis		Liposcelididae				Psocodea		Insecta	Hexapoda	Arthropoda	2	IND	
Lissonota catenator		Lissonata		Ichneumonidae				Hymenoptera		Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Locusta migratoria	7004	Locusta	Oedipodinae	Acrididae	Acridoidea	Acrididea	Caelifera	Orthoptera	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	
Lucilia sericata	13632	Lucilia	Luciliinae	Calliphoridae	Oestroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Luehdorfia japonica	76208	Luehdorfia	Parnassiinae	Papilionidae	Papilionoidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Lytta viridana		Lytta		Meloidae				Coleoptera		Insecta	Hexapoda	Arthropoda	2	IND	
Macrobrachium nipponense	159736	Macrobrachium		Palaemonidae	Palaemonoidea	Caridea	Pleocyemata	Decapoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	1	GP	GP_obs
Macrocentrus cingulum	535359	Macrocentrus	Macrocentrinae	Braconidae	Ichneumonoidea		Apocrita	Hymenoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	GP	GP_obs
